Project_ID,Project_Name,Portfolio_Track,Schedule_Status,Quality_Status,Budget_Status,SLA_Performance_Pct,CSAT_Score,Resource_Attrition_Pct,Defect_Backlog_Count,Critical_Escalations,Primary_Leadership_Concern
PRJ-201,Omega Data Lake,Data & AI,Green,Green,Green,98.7,4.6,8.0,10,0,None - High automation and stable delivery
PRJ-202,Phi Mobile Suite,Mobility & UX,Amber,Red,Amber,92.1,3.0,27.0,60,2,Defect leakage and resource ramp-up delays
PRJ-203,Chi ERP Upgrade,Enterprise Systems,Red,Amber,Red,85.0,2.9,33.0,80,4,Vendor delays and budget overruns
PRJ-204,Psi Cloud Migration,Cloud & Infra,Green,Green,Green,99.2,4.8,6.0,8,0,None - Predictable sprints and strong governance
PRJ-205,Alpha2 DevOps Suite,DevOps,Green,Green,Green,98.9,4.7,7.0,12,0,None - High team efficiency
PRJ-206,Beta2 Security Audit,Cybersecurity,Amber,Green,Green,94.5,4.1,15.0,20,1,Skill shortage in security profiles
PRJ-207,Gamma2 CRM Integration,Enterprise Systems,Amber,Green,Amber,91.0,3.7,13.0,18,1,Schedule slip due to API dependencies
PRJ-208,Delta2 Analytics,Data & AI,Red,Green,Green,84.2,4.0,21.0,30,2,Milestone misses from infra instability
PRJ-209,Epsilon2 Modernization,Legacy Modernization,Amber,Red,Amber,95.3,2.8,36.0,75,3,High attrition in core team
PRJ-210,Zeta2 Chatbot,Data & AI,Green,Green,Amber,97.8,4.4,13.0,11,0,Margin erosion from R&D spikes
PRJ-211,Eta2 Supply Chain,Digital Transformation,Green,Green,Green,96.3,4.3,9.0,14,0,None - Smooth rollout
PRJ-212,Theta2 API Gateway,Cloud & Infra,Green,Green,Green,98.5,4.6,5.0,6,0,None - Predictable velocity
PRJ-213,Iota2 Identity Mgmt,Cybersecurity,Green,Green,Green,99.1,4.2,10.0,8,0,None - Strong compliance
PRJ-214,Kappa2 Microservices,Digital Transformation,Amber,Green,Red,90.8,3.1,24.0,36,2,Communication gaps between teams
PRJ-215,Lambda2 Billing Engine,Enterprise Systems,Red,Amber,Red,87.2,3.5,17.0,49,3,Integration complexity impacting metrics
PRJ-216,Mu2 Procurement,Digital Transformation,Green,Green,Green,97.5,4.5,7.0,9,0,None - Proactive risk tracking
PRJ-217,Nu2 Frontend Redesign,Mobility & UX,Green,Red,Green,95.1,2.7,31.0,55,3,Defect leakage and CSAT dip
PRJ-218,Xi2 Mainframe Offload,Legacy Modernization,Amber,Green,Green,93.7,4.1,11.0,21,1,Skill shortages on legacy code
PRJ-219,Omicron2 IoT Platform,Cloud & Infra,Green,Green,Green,98.3,4.7,9.0,12,0,None - Strong execution
PRJ-220,Phi2 Data Mesh,Data & AI,Green,Green,Green,99.0,4.8,8.0,7,0,None - High customer satisfaction
PRJ-221,Chi2 Mobile Payments,Mobility & UX,Amber,Red,Amber,91.5,3.2,29.0,62,2,Defect leakage and resource issues
PRJ-222,Psi2 ERP Cloud,Enterprise Systems,Red,Amber,Red,86.0,3.0,34.0,82,4,Vendor delays and budget overruns
PRJ-223,Omega2 CloudOps,Cloud & Infra,Green,Green,Green,99.3,4.9,6.0,7,0,None - Predictable sprints
PRJ-224,Alpha3 DevSecOps,DevOps,Green,Green,Green,98.6,4.6,8.0,13,0,None - High team efficiency
PRJ-225,Beta3 Security Suite,Cybersecurity,Amber,Green,Green,94.2,4.0,16.0,22,1,Skill shortage in security
PRJ-226,Gamma3 CRM Portal,Enterprise Systems,Amber,Green,Amber,90.7,3.6,14.0,19,1,Schedule slip due to API
PRJ-227,Delta3 Analytics Platform,Data & AI,Red,Green,Green,83.9,3.9,22.0,32,2,Milestone misses from infra
PRJ-228,Epsilon3 Legacy Modernization,Legacy Modernization,Amber,Red,Amber,94.8,2.7,37.0,77,3,High attrition in team
PRJ-229,Zeta3 Chatbot,Data & AI,Green,Green,Amber,97.6,4.3,12.0,10,0,Margin erosion from R&D
PRJ-230,Eta3 Supply Chain Portal,Digital Transformation,Green,Green,Green,96.1,4.2,10.0,16,0,None - Smooth rollout
PRJ-231,Theta3 API Gateway,Cloud & Infra,Green,Green,Green,98.4,4.5,6.0,8,0,None - Predictable velocity
PRJ-232,Iota3 Identity Mgmt,Cybersecurity,Green,Green,Green,99.2,4.1,11.0,9,0,None - Strong compliance
PRJ-233,Kappa3 Microservices,Digital Transformation,Amber,Green,Red,90.5,3.0,26.0,39,2,Communication gaps
PRJ-234,Lambda3 Billing Engine,Enterprise Systems,Red,Amber,Red,87.5,3.4,18.0,52,3,Integration complexity
PRJ-235,Mu3 Procurement Portal,Digital Transformation,Green,Green,Green,97.3,4.4,8.0,11,0,None - Proactive risk tracking
PRJ-236,Nu3 Frontend Redesign,Mobility & UX,Green,Red,Green,95.3,2.6,32.0,57,3,Defect leakage and CSAT dip
PRJ-237,Xi3 Mainframe Offload,Legacy Modernization,Amber,Green,Green,93.2,4.2,13.0,23,1,Skill shortages
PRJ-238,Omicron3 IoT Platform,Cloud & Infra,Green,Green,Green,98.1,4.8,10.0,14,0,None - Strong execution
PRJ-239,Phi3 Data Mesh,Data & AI,Green,Green,Green,99.1,4.9,7.0,6,0,None - High satisfaction
PRJ-240,Chi3 Mobile Payments,Mobility & UX,Amber,Red,Amber,91.2,3.3,28.0,61,2,Defect leakage
PRJ-241,Psi3 ERP Cloud,Enterprise Systems,Red,Amber,Red,85.7,2.8,35.0,84,4,Vendor delays
PRJ-242,Omega3 CloudOps,Cloud & Infra,Green,Green,Green,99.4,4.7,5.0,5,0,None - Predictable sprints
PRJ-243,Alpha4 DevSecOps,DevOps,Green,Green,Green,98.8,4.5,9.0,14,0,None - High efficiency
PRJ-244,Beta4 Security Suite,Cybersecurity,Amber,Green,Green,94.3,4.2,17.0,23,1,Skill shortage
PRJ-245,Gamma4 CRM Portal,Enterprise Systems,Amber,Green,Amber,90.9,3.8,15.0,20,1,Schedule slip
PRJ-246,Delta4 Analytics Platform,Data & AI,Red,Green,Green,84.1,4.0,23.0,34,2,Milestone misses
PRJ-247,Epsilon4 Legacy Modernization,Legacy Modernization,Amber,Red,Amber,94.6,2.9,38.0,79,3,High attrition
PRJ-248,Zeta4 Chatbot,Data & AI,Green,Green,Amber,97.7,4.2,11.0,9,0,Margin erosion
PRJ-249,Eta4 Supply Chain Portal,Digital Transformation,Green,Green,Green,96.2,4.1,11.0,17,0,None - Smooth rollout
PRJ-250,Theta4 API Gateway,Cloud & Infra,Green,Green,Green,98.6,4.4,7.0,10,0,None - Predictable velocity
